Stock Symbol,Indices,,,
20MICRONS,"METAL, ENERGY, COMDTY",,,
360ONE,FIN,,,
3IINFOLTD,BSE IT,,,
3MINDIA,INDSTR,,,
5PAISA,FIN,,,
63MOONS,BSE IT,,,
AADHARHFC,FIN,,,
AARTIDRUGS,BSE HC,,,
AARTIIND,COMDTY,,,
AARTIPHARM,BSE HC,,,
AARTISURF,"BSEFMC, CDGS",,,
AAVAS,FIN,,,
ABB,"BSE CG, POWER, INDSTR",,,
ABBOTINDIA,BSE HC,,,
ABCAPITAL,FIN,,,
ABFRL,"CDGS, BSE CD",,,
ABSLAMC,FIN,,,
ACC,COMDTY,,,
ACCELYA,BSE IT,,,
ACE,INDSTR,,,
ACI,COMDTY,,,
ACL,"COMDTY, CDGS",,,
ACLGATI,ENERGY,,,
ADANIENSOL,"POWER, UTILS",,,
ADANIENT,COMDTY,,,
ADANIGREEN,"POWER, UTILS",,,
ADANIPORTS,ENERGY,,,
ADANIPOWER,"POWER, UTILS",,,
ADFFOODS,BSEFMC,,,
ADORWELD,INDSTR,,,
ADSL,"BSE IT, TECK, CDGS, FIN",,,
ADVANIHOTR,CDGS,,,
ADVENZYMES,BSE HC,,,
AEGISLOG,ENERGY,,,
AEROFLEX,INDSTR,,,
AETHER,COMDTY,,,
AFFLE,BSE IT,,,
AGARIND,COMDTY,,,
AGI,INDSTR,,,
AGSTRA,FIN,,,
AHL,FIN,,,
AHLUCONT,INDSTR,,,
AIAENG,"BSE CG, INDSTR",,,
AIIL,FIN,,,
AJANTPHARM,BSE HC,,,
AJMERA,"CDGS, REALTY, INDSTR",,,
AKZOINDIA,CDGS,,,
ALANKIT,FIN,,,
ALBERTDAVD,BSE HC,,,
ALEMBICLTD,BSE HC,,,
ALICON,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
ALKEM,BSE HC,,,
ALKYLAMINE,COMDTY,,,
ALLCARGO,ENERGY,,,
ALLSEC,"BSE IT, TECK, CDGS, FIN",,,
ALOKINDS,CDGS,,,
AMBER,CDGS,,,
AMBIKCO,"CDGS, REALTY, BSE CG, INDSTR",,,
AMBUJACEM,COMDTY,,,
AMIORG,BSE HC,,,
AMNPLST,"CDGS, COMDTY, INDSTR",,,
AMRUTANJAN,BSE HC,,,
ANANDRATHI,FIN,,,
ANANTRAJ,CDGS,,,
ANDHRAPAP,COMDTY,,,
ANDHRSUGAR,"CDGS, COMDTY, INDSTR",,,
