symbol,Market Capitalization (in Crores),,,
20MICRONS,183.49,,,
360ONE,,,,
3IINFOLTD,1024.07,,,
3MINDIA,20857.22,,,
5PAISA,362.74,,,
63MOONS,474.15,,,
AADHARHFC,,,,
AARTIDRUGS,1465.66,,,
AARTIIND,9335.03,,,
AARTIPHARM,,,,
AARTISURF,,,,
AAVAS,,,,
ABB,33867.20,,,
ABBOTINDIA,11607.75,,,
ABCAPITAL,37030.26,,,
ABFRL,11887.95,,,
ABSLAMC,,,,
ACC,31797.08,,,
ACCELYA,2060.50,,,
ACE,1976.89,,,
ACI,,,,
ACL,352.81,,,
ACLGATI,1268.20,,,
ADANIENSOL,21726.75,,,
ADANIENT,22491.12,,,
ADANIGREEN,,,,
ADANIPORTS,83894.26,,,
ADANIPOWER,12650.76,,,
ADFFOODS,535.87,,,
ADORWELD,593.44,,,
ADSL,114.97,,,
ADVANIHOTR,326.77,,,
ADVENZYMES,2900.71,,,
AEGISLOG,8907.78,,,
AEROFLEX,,,,
AETHER,,,,
AFFLE,,,,
AGARIND,461.54,,,
AGI,3066.81,,,
AGSTRA,,,,
AHL,,,,
AHLUCONT,2257.48,,,
AIAENG,13588.74,,,
AIIL,72.51,,,
AJANTPHARM,12302.67,,,
AJMERA,1095.77,,,
AKZOINDIA,8330.97,,,
ALANKIT,892.06,,,
ALBERTDAVD,214.65,,,
ALEMBICLTD,1618.21,,,
ALICON,859.87,,,
ALKEM,26007.78,,,
ALKYLAMINE,1274.67,,,
ALLCARGO,4729.64,,,
ALLDIGI,579.21,,,
ALOKINDS,509.61,,,
AMBER,3766.35,,,
AMBIKCO,755.21,,,
AMBUJACEM,51954.41,,,
AMIORG,,,,
AMNPLST,442.09,,,
AMRUTANJAN,854.56,,,
ANANDRATHI,,,,
ANANTRAJ,1760.25,,,
ANDHRAPAP,1292.92,,,
ANDHRSUGAR,1362.54,,,
ANGELONE,,,,
ANUP,,,,
ANURAS,,,,
APARINDS,2875.12,,,
APCL,530.37,,,
APCOTEXIND,971.06,,,
APEX,2473.13,,,
APLAPOLLO,5239.07,,,
APLLTD,10213.07,,,
APOLLO,672.65,,,
APOLLOHOSP,15746.19,,,
APOLLOPIPE,628.91,,,
APOLLOTYRE,15431.05,,,
APTECHT,1069.75,,,
APTUS,,,,
ARE&M,13839.23,,,
ARIHANTCAP,313.59,,,
ARIHANTSUP,643.33,,,
ARMANFIN,187.66,,,
ARROWGREEN,530.88,,,
ARTEMISMED,,,,
ARVIND,10408.04,,,
ARVINDFASN,,,,
ARVSMART,583.80,,,
ASAHIINDIA,8664.94,,,
ASAHISONG,420.14,,,
ASAL,134.85,,,
ASALCBR,458.22,,,
ASHAPURMIN,715.90,,,
ASHIANA,1870.48,,,
ASHIMASYN,364.81,,,
ASHOKA,4460.69,,,
ASHOKLEY,39267.10,,,
ASIANENE,726.84,,,
ASIANPAINT,107818.63,,,
ASIANTILES,1546.04,,,
ASKAUTOLTD,,,,
ASMS,,,,
ASTEC,1128.60,,,
ASTERDM,,,,
ASTRAL,9520.84,,,
ASTRAMICRO,923.71,,,
ASTRAZEN,2604.13,,,
ATFL,1570.36,,,
ATGL,,,,
ATL,,,,
ATUL,8088.16,,,
ATULAUTO,936.21,,,
AUBANK,17239.29,,,
AURIONPRO,499.45,,,
AUROPHARMA,35261.33,,,
AURUM,1365.45,,,
AUTOAXLES,2454.49,,,
AUTOIND,178.19,,,
AVADHSUGAR,673.62,,,
AVALON,,,,
AVANTIFEED,11459.17,,,
AVG,,,,
AVTNPL,681.47,,,
AWHCL,,,,
AWL,,,,
AXISBANK,145806.22,,,
AXISCADES,655.69,,,
AXITA,,,,
AYMSYNTEX,250.35,,,
AZAD,,,,
BAJAJCON,7068.94,,,
BAJAJELEC,5199.32,,,
BAJAJFINSV,80478.60,,,
BAJAJHCARE,242.90,,,
BAJAJHIND,1502.43,,,
BAJAJHLDNG,30063.72,,,
BAJEL,,,,
BAJFINANCE,95311.14,,,
BALAJITELE,1457.80,,,
BALAMINES,2067.02,,,
BALKRISIND,21869.01,,,
BALMLAWRIE,2685.90,,,
BALRAMCHIN,2817.99,,,
BALUFORGE,,,,
BANARISUG,2306.99,,,
BANCOINDIA,1633.49,,,
BANDHANBNK,,,,
BANKBARODA,35990.97,,,
BANKINDIA,16862.02,,,
BANSWRAS,211.55,,,
BARBEQUE,,,,
BASF,9007.17,,,
BATAINDIA,9144.73,,,
BAYERCROP,13930.71,,,
BBL,763.24,,,
BBOX,319.82,,,
BBTC,9263.27,,,
BBTCL,,,,
BCLIND,240.69,,,
BCONCEPTS,62.81,,,
BDL,,,,
BECTORFOOD,,,,
BEDMUTHA,63.17,,,
BEL,38574.75,,,
BEML,5174.75,,,
BEPL,2922.43,,,
BERGEPAINT,24358.42,,,
BFINVEST,1111.38,,,
BFUTILITIE,1655.12,,,
BHAGCHEM,228.59,,,
BHAGERIA,502.53,,,
BHARATFORG,35417.33,,,
BHARATRAS,1751.63,,,
BHARATWIRE,555.83,,,
BHARTIARTL,171632.85,,,
BHARTIHEXA,,,,
BHEL,35043.51,,,
BIGBLOC,193.32,,,
BIKAJI,,,,
BIL,543.33,,,
BIOCON,36242.84,,,
BIRLACABLE,179.70,,,
BIRLACORPN,7789.86,,,
BIRLAMONEY,430.04,,,
BLAL,,,,
BLISSGVS,2098.00,,,
BLKASHYAP,1045.96,,,
BLS,1959.87,,,
BLSE,,,,
BLUEDART,10810.09,,,
BLUEJET,,,,
BLUESTARCO,6953.15,,,
BODALCHEM,1817.56,,,
BOMDYEING,5003.31,,,
BOROLTD,,,,
BORORENEW,2258.83,,,
BOROSCI,,,,
BOSCHLTD,59808.90,,,
BPCL,103733.67,,,
BPL,441.92,,,
BRIGADE,4082.24,,,
BRITANNIA,55563.37,,,
BSE,4483.57,,,
BSHSL,,,,
BSOFT,4161.90,,,
BUTTERFLY,1087.79,,,
CAMLINFINE,1519.89,,,
CAMPUS,,,,
CAMS,,,,
CANBK,19301.43,,,
CANFINHOME,6140.62,,,
CANTABIL,207.28,,,
CAPACITE,2412.52,,,
CAPITALSFB,,,,
CAPLIPOINT,4662.71,,,
CARBORUNIV,6750.27,,,
CAREERP,217.41,,,
CARERATING,3933.66,,,
CARTRADE,,,,
CARYSIL,290.63,,,
CASTROLIND,19262.41,,,
CCL,3971.55,,,
