trade_date,NIFTY 50,BSE 500,NIFTY AUTO,NIFTY BANK,NIFTY ENERGY,NIFTY FINANCIAL SERVICES,NIFTY FMCG,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PSU BANK,NIFTY REALTY,NIFTY PRIVATE BANK,NIFTY HEALTHCARE INDEX,NIFTY CONSUMER DURABLES,NIFTY OIL & GAS,BSE AUTO,BSE BANKEX,BSE CAPITAL GOODS,BSE CARBONEX,BSE Commodities,BSE CONSUMER DISCRETIONARY,BSE CONSUMER DURABLES,BSE CPSE,BSE ENERGY,BSE FAST MOVING CONSUMER GOODS,BSE FINANCIAL SERVICES,BSE HEALTHCARE,BSE HOUSING INDEX,BSE INDIA INFRASTRUCTURE INDEX,BSE INDIA MANUFACTURING INDEX,BSE INDIA SECTOR LEADERS,BSE INDUSTRIALS,BSE INFORMATION TECHNOLOGY,BSE INTERNET ECONOMY,BSE METAL,BSE OIL & GAS,BSE POWER,BSE POWER & ENERGY,BSE PREMIUM CONSUMPTION,BSE PRIVATE BANKS INDEX,BSE PSU,BSE PSU BANK,BSE REALTY,BSE Services,BSE TECK,BSE Telecommunication,BSE Utilities,NIFTY FINANCIAL SERVICES 25/50,NIFTY MIDSMALL HEALTHCARE,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MIDSMALL IT & TELECOM
2015-02,1,1,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,
2015-03,1,-1,,,,,,,,,,,,,,,,-1.0,-1.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,1.0,1.0,2.0,,-1.0,,,2.0,2.0,,1.0,-1.0,1.0,,,,-1.0,,1.0,,1.0,1.0,1.0,,,,,
2015-04,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12,1,2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01,1,2,1.0,1.0,,,,,,,,,,,,,,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,,,2.0,2.0,,-1.0,-1.0,2.0,,,,-1.0,,1.0,,2.0,2.0,2.0,,,,,
2016-02,1,-1,-1.0,-1.0,,,,,,,,,,,,,,1.0,-2.0,-1.0,1.0,1.0,2.0,2.0,-1.0,2.0,2.0,1.0,2.0,,-1.0,1.0,,1.0,2.0,,-2.0,1.0,-1.0,,,,-2.0,,-1.0,,2.0,1.0,2.0,,,,,
2016-03,1,-2,-1.0,-2.0,,,,,,,,,,,,,,1.0,-2.0,-2.0,1.0,1.0,-1.0,1.0,-2.0,1.0,2.0,-1.0,2.0,,-2.0,2.0,,-1.0,1.0,,1.0,-1.0,-2.0,,,,-2.0,,-2.0,,2.0,1.0,-1.0,,,,,
2016-04,1,-2,1.0,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,-2.0,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,,-1.0,1.0,,1.0,1.0,,2.0,-1.0,-1.0,,,,-2.0,,-1.0,,1.0,1.0,-1.0,,,,,
2016-05,1,1,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,-1.0,1.0,-2.0,-1.0,1.0,-1.0,,1.0,1.0,,2.0,-1.0,,2.0,1.0,1.0,,,,1.0,,1.0,,-1.0,2.0,1.0,,,,,
2016-06,1,-1,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,-2.0,-1.0,-2.0,-1.0,2.0,-2.0,,-1.0,-1.0,,2.0,-2.0,,-1.0,-1.0,-1.0,,,,-1.0,,2.0,,-2.0,-1.0,-1.0,,,,,
2016-07,1,1,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,-1.0,1.0,2.0,-1.0,,-1.0,1.0,,2.0,-2.0,,1.0,-1.0,1.0,,,,1.0,,2.0,,-2.0,-2.0,1.0,,,,,
2016-08,1,2,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,-2.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,,2.0,-2.0,,2.0,1.0,1.0,,,,2.0,,2.0,,-2.0,-2.0,1.0,,,,,
2016-09,1,2,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,-1.0,2.0,2.0,2.0,-2.0,2.0,2.0,-1.0,2.0,-1.0,,2.0,1.0,,1.0,-2.0,,2.0,2.0,-1.0,,,,2.0,,-1.0,,-2.0,-2.0,2.0,,,,,
2016-10,1,2,2.0,1.0,,,,,,,,,,,,,,2.0,1.0,-2.0,2.0,2.0,2.0,1.0,2.0,2.0,-2.0,2.0,-1.0,,2.0,2.0,,-1.0,-2.0,,2.0,2.0,-2.0,,,,2.0,,-1.0,,-2.0,-2.0,-1.0,,,,,
2016-11,1,2,2.0,2.0,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,1.0,,2.0,1.0,,1.0,-2.0,,2.0,2.0,-1.0,,,,2.0,,1.0,,-2.0,-1.0,-1.0,,,,,
2016-12,1,1,-1.0,2.0,,,,,,,,,,,,,,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,,2.0,-1.0,,-1.0,1.0,,2.0,2.0,1.0,,,,2.0,,-1.0,,1.0,1.0,1.0,,,,,
2017-01,1,-1,-1.0,-1.0,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-2.0,-1.0,,1.0,-2.0,,-2.0,2.0,,1.0,2.0,1.0,,,,1.0,,-2.0,,2.0,1.0,1.0,,,,,
2017-02,1,-1,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,-2.0,,2.0,1.0,,1.0,-1.0,,2.0,2.0,2.0,,,,2.0,,1.0,,-1.0,2.0,2.0,,,,,
